Provinsi,Cluster,TBC Case Detection Rate,TBC Success Rate,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,"New Case Detection Rate of Leprosy per 100,000 Population","Annual Parasite Incidence per 1,000 Population","DHF Incidence Rate per 100,000 Population",Kategori_Risiko,Label_Kesehatan,Deskripsi_Label
Aceh,0,68.0,81.0,338.0,4.32,0.06,37.08,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Sumatera Utara,0,74.0,79.0,3041.0,5.215,0.37,27.91,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Sumatera Barat,0,62.0,86.0,578.0,1.11,0.02,41.63,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Riau,0,72.0,86.0,1031.0,1.69,0.44,54.07,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Jambi,0,65.0,86.0,326.0,1.63,0.02,37.87,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Sumatera Selatan,0,63.0,89.0,927.0,3.0,0.20500000000000002,45.57,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Bengkulu,0,48.0,76.0,197.0,1.55,0.20500000000000002,41.35,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Lampung,0,65.0,92.0,1134.0,1.89,0.2,69.21,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Kepulauan Bangka Belitung,0,63.0,85.0,282.0,3.5,0.01,104.72,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Kepulauan Riau,0,50.0,82.0,867.0,1.79,0.25,91.31,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
DKI Jakarta,3,86.0,78.0,4353.0,4.44,0.05,95.17,Cluster 3 (Risk Level 6),Beban Penyakit Sangat Tinggi,Cluster dengan beban penyakit infeksi yang sangat tinggi di semua indikator kesehatan
Jawa Barat,3,97.0,86.0,9212.0,5.215,0.02,88.17,Cluster 3 (Risk Level 6),Beban Penyakit Sangat Tinggi,Cluster dengan beban penyakit infeksi yang sangat tinggi di semua indikator kesehatan
Jawa Tengah,3,84.0,86.0,6057.0,4.01,0.02,27.81,Cluster 3 (Risk Level 6),Beban Penyakit Sangat Tinggi,Cluster dengan beban penyakit infeksi yang sangat tinggi di semua indikator kesehatan
DI Yogyakarta,0,75.0,85.0,944.0,0.76,0.04,53.31,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Jawa Timur,3,77.0,88.0,10612.0,5.14,0.02,49.29,Cluster 3 (Risk Level 6),Beban Penyakit Sangat Tinggi,Cluster dengan beban penyakit infeksi yang sangat tinggi di semua indikator kesehatan
Banten,3,112.0,91.0,2289.0,7.06,0.01,56.14,Cluster 3 (Risk Level 6),Beban Penyakit Sangat Tinggi,Cluster dengan beban penyakit infeksi yang sangat tinggi di semua indikator kesehatan
Bali,5,83.0,81.0,2024.0,3.01,0.01,232.87,Cluster 5 (Risk Level 5),Beban Penyakit Sangat Tinggi,Cluster dengan beban penyakit infeksi yang sangat tinggi di semua indikator kesehatan
Nusa Tenggara Barat,0,60.0,87.0,674.0,5.29,0.02,63.58,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Nusa Tenggara Timur,0,62.0,85.0,1249.0,7.75,0.75,37.28,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Kalimantan Barat,0,75.0,86.0,1113.0,5.215,0.01,36.4,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Kalimantan Tengah,0,77.0,77.0,485.0,5.215,0.12,40.84,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Kalimantan Selatan,0,77.0,78.0,662.0,3.02,0.05,13.65,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Kalimantan Timur,0,52.0,83.0,1294.0,2.76,0.24,144.77,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Kalimantan Utara,0,64.0,69.0,208.0,6.14,0.08,35.5,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Sulawesi Utara,0,67.0,82.0,812.0,15.11,0.37,57.95,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
Sulawesi Tengah,0,84.0,80.0,732.0,8.65,0.41,35.61,Cluster 0 (Risk Level 3),Kondisi Kesehatan Sedang,"Cluster dengan kondisi kesehatan yang sedang, beban penyakit moderat"
