Provinsi,TBC_CDR,TBC_SR,AIDS,Kusta,Malaria,DBD,Cluster
Aceh,36,94,427,1611,6028,1681,1
Sumatera Utara,84,53,2374,24,308,1441,2
Sumatera Barat,75,92,3988,1595,3474,11596,1
Riau,60,91,987,1575,4367,10863,1
Jambi,60,63,2341,1562,9827,10481,0
Sumatera Selatan,90,81,693,1333,2145,6981,1
Bengkulu,36,58,3448,948,2765,10784,2
Lampung,78,87,2404,1413,4085,2502,1
Kepulauan Bangka Belitung,44,85,1684,561,9926,13519,0
Kepulauan Riau,36,67,1173,1563,8534,7565,1
DKI Jakarta,66,53,2844,1115,346,14076,2
Jawa Barat,98,98,3365,923,2339,2369,1
Jawa Tengah,81,72,4704,1016,8216,7510,0
DI Yogyakarta,83,94,2213,1141,583,10475,1
Jawa Timur,80,83,845,84,8556,7484,0
Banten,85,88,4171,288,2813,6747,0
Bali,65,87,3167,498,9176,2576,0
Nusa Tenggara Barat,38,59,3516,237,2935,5777,2
Nusa Tenggara Timur,88,68,531,884,4343,3657,1
Kalimantan Barat,61,73,1596,1340,6619,4592,1
Kalimantan Tengah,65,74,3850,1312,1262,10287,2
Kalimantan Selatan,55,52,4169,947,5570,9491,2
Kalimantan Timur,42,77,2204,1711,5050,9147,1
Kalimantan Utara,94,57,4033,1134,7838,5491,0
Sulawesi Utara,84,87,4216,167,9961,14399,0
Sulawesi Tengah,75,84,1968,1532,6643,1405,1
Sulawesi Selatan,58,96,4495,1153,4091,5204,1
Sulawesi Tenggara,87,87,1477,1273,4063,1858,1
Gorontalo,68,68,1235,1135,4179,5150,1
Sulawesi Barat,61,98,3428,1111,8140,14432,0
Maluku,61,70,3201,190,3212,5557,2
Maluku Utara,45,66,741,1122,1669,13637,2
Papua Barat,36,95,4172,1591,3342,7476,1
Papua,68,68,1039,614,227,10525,2
