Provinsi,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Aceh,68.0,86.0,352.0,4.73,0.07,60.85
Sumatera Utara,68.0,85.0,3250.0,0.71,0.42,60.8
Sumatera Barat,63.0,87.0,654.0,1.0,0.01,48.65
Riau,72.0,90.0,1007.0,1.66,0.4,43.26
Jambi,62.0,88.0,313.0,1.47,0.01,61.92
Sumatera Selatan,62.0,92.0,986.0,2.99,0.01,69.59
Bengkulu,43.0,85.0,173.0,0.34,–,149.17
Lampung,58.0,93.0,1220.0,2.0,0.28,102.76
Kepulauan Bangka Belitung,62.0,86.0,277.0,3.41,0.01,124.09
Kepulauan Riau,52.0,83.0,949.0,1.78,0.14,64.95
DKI Jakarta,90.0,80.0,5027.0,4.24,0.03,122.53
Jawa Barat,96.0,85.0,9893.0,3.61,0.01,118.8
Jawa Tengah,83.0,87.0,6191.0,3.41,0.02,49.79
DI Yogyakarta,82.0,87.0,928.0,1.38,0.03,97.59
Jawa Timur,76.0,89.0,10460.0,5.26,0.01,78.83
Banten,111.0,91.0,2434.0,5.8,0.01,100.93
Bali,82.0,84.0,1998.0,2.56,0.02,336.83
Nusa Tenggara Barat,58.0,89.0,627.0,5.01,0.04,76.53
Nusa Tenggara Timur,55.0,88.0,1255.0,7.9,1.57,68.65
Kalimantan Barat,74.0,86.0,1309.0,1.36,0.01,47.43
Kalimantan Tengah,73.0,79.0,485.0,2.72,0.05,142
Kalimantan Selatan,81.0,76.0,674.0,3.35,0.07,72.3
Kalimantan Timur,52.0,83.0,1375.0,3.36,0.4,284.06
Kalimantan Utara,58.0,77.0,209.0,4.71,0.19,84.71
Sulawesi Utara,70.0,82.0,869.0,17.01,0.46,186.98
Sulawesi Tengah,84.0,83.0,705.0,11.4,0.37,76.41
Sulawesi Selatan,64.0,83.0,2120.0,8.48,0.2,66.04
Sulawesi Tenggara,67.0,80.0,646.0,6.72,0.19,170.04
Gorontalo,71.0,91.0,277.0,17.75,1.29,189.52
Sulawesi Barat,79.0,89.0,134.0,11.55,0.21,171.67
Maluku,59.0,86.0,861.0,23.35,1.18,21.41
Maluku Utara,79.0,80.0,592.0,48.93,0.15,82.61
Papua Barat,89.0,71.0,827.0,67.74,13.52,66.07
Papua Barat Daya,71.0,75.0,291.0,64.13,11.51,48.72
Papua,58.0,72.0,2275.0,147.87,216.67,54.16
Papua Selatan,77.0,76.0,194.0,34.53,105.13,–
Papua Tengah,65.0,78.0,1311.0,27.12,114.25,95.91
Papua Pegunungan,27.0,44.0,559.0,6.39,25.89,23.04
Indonesia,79.0,86.0,63707.0,5.3,1.93,91.93
,,,,,,
Catatan,,,,,,
Kondisi data TBC tahun 2024 update per 8 Februari 2026/ TBC data of 2024 updates as of 8 February 2026 ,,,,,,
Kondisi data AIDS tahun 2024 update per 20 Januari 2026/ AIDS data of 2024 updates as of 20 January 2026 ,,,,,,
Kondisi data kusta tahun 2024 update per 8 Februari 2026/ Leprocy data of 2024 updates as of 8 February 2026 ,,,,,,
Kondisi data malaria tahun 2024 update per 8 Februari 2026/ Malaria data of 2024 updates as of 8 February 2026 ,,,,,,
Kondisi data DBD tahun 2024 per 8 Februari 2026/ Dengue Fever data of 2024 updates as of  8 February 2026 ,,,,,,
