Provinsi,TBC_CDR,TBC_SR,AIDS,Kusta,Malaria,DBD
Aceh,-0.2662584521425561,-0.052647951199179165,-0.5802459394965265,-0.46498761573876557,-0.33198970452710364,-0.38655012515844844
Sumatera Utara,0.17685780397790188,-0.33845111485186896,0.6010392453179787,0.0,-0.3260363589241816,-0.6087745427564613
Sumatera Barat,-0.7093747082630141,0.6618599579325454,-0.47535935260955603,-0.6432363390134559,-0.3327578781532871,-0.2762861011594343
Riau,0.02915238527108254,0.6618599579325454,-0.27738591986039923,-0.6110294045899916,-0.3246920550783605,0.025183010609298447
Jambi,-0.4878165802027851,0.6618599579325454,-0.5854902688408751,-0.6143611564269016,-0.3327578781532871,-0.36740538253004823
Sumatera Selatan,-0.6355219989096045,1.09056470341158,-0.3228367741780864,-0.5382861561507878,0.0,-0.18080472653171675
Bengkulu,-1.7433126392107494,-0.7671558603309037,-0.6418668092926217,-0.6188034922094484,0.0,-0.2830715795593737
Lampung,-0.4878165802027851,1.5192694488906147,-0.23237209298807437,-0.5999235651336245,-0.32930109683546144,0.3920835212345889
Kepulauan Bangka Belitung,-0.6355219989096045,0.5189583761062004,-0.6047194764368197,-0.5105215575098703,-0.33294992155983294,1.2526275854554654
Kepulauan Riau,-1.59560722050393,0.09025363062716574,-0.3490584208998291,-0.605476484861808,-0.3283408798027321,0.9276516378012286
DKI Jakarta,1.0630903162188179,-0.48135269667821384,1.1744192536334175,-0.45832411206494544,-0.33218174793364946,1.0211943043146778
Jawa Barat,1.875470119106324,0.6618599579325454,3.2979356106492075,0.0,-0.3327578781532871,0.8515573443161947
Jawa Tengah,0.9153848975119985,0.6618599579325454,1.919114020530908,-0.4822016668961345,-0.3327578781532871,-0.6111979278992967
DI Yogyakarta,0.25071051333131156,0.5189583761062004,-0.31540730760692604,-0.6626715580620981,-0.3323737913401954,0.006765283523748902
Jawa Timur,0.39841593203813086,0.9476631215852351,3.909774034156535,-0.4194536739676609,-0.3327578781532871,-0.09065479921823719
Banten,2.983260759407469,1.3763678670642698,0.27239460640547114,-0.3128376151865378,-0.33294992155983294,0.07534708306599275
Bali,0.8415321881585889,-0.052647951199179165,0.1565823333844412,-0.5377308641779694,-0.33294992155983294,4.358195645999124
Nusa Tenggara Barat,-0.8570801269698334,0.8047615397588902,-0.43340471785476786,-0.41112429437538567,-0.3327578781532871,0.2556469376929519
Nusa Tenggara Timur,-0.7093747082630141,0.5189583761062004,-0.18211393677140103,-0.2745224690620716,-0.31873870947543853,-0.3817033548727774
Kalimantan Barat,0.25071051333131156,0.6618599579325454,-0.2415496693406843,0.0,-0.33294992155983294,-0.4030291441297296
Kalimantan Tengah,0.39841593203813086,-0.6242542785045587,-0.5160029050282571,0.0,-0.3308374440878284,-0.2954308437878345
Kalimantan Selatan,0.39841593203813086,-0.48135269667821384,-0.43864904719911635,-0.5371755722051511,-0.33218174793364946,-0.9543492641247997
Kalimantan Timur,-1.4479018017971108,0.23315521245351065,-0.16244770173009407,-0.5516131634984281,-0.32853292320927796,2.223193335161073
Kalimantan Utara,-0.5616692895561948,-1.7674669331153179,-0.6370595073936356,-0.36392447668582595,-0.3316056177140119,-0.42483961041524887
Sulawesi Utara,-0.34011116149596576,0.09025363062716574,-0.3730949303947598,0.13417242293223375,-0.3260363589241816,0.11921035415131485
Sulawesi Tengah,0.9153848975119985,-0.19554953302552408,-0.40805712602374994,-0.22454619150842015,-0.3252681852979981,-0.42217388675812983
Sulawesi Selatan,-0.4878165802027851,0.37605679427985556,0.1259904122090748,-0.24564728647551748,-0.32910905342891555,-0.17498860218891157
Sulawesi Tenggara,0.02915238527108254,-0.052647951199179165,-0.46574474881158373,-0.3333834181808167,-0.3287249666158238,-0.2908264120164472
Gorontalo,0.39841593203813086,0.9476631215852351,-0.6252597663688514,0.21580034293653108,-0.29684576112920924,0.03560356672349097
Sulawesi Barat,0.6199740600983599,0.8047615397588902,-0.671147648131901,0.03144340796083906,-0.33179766112055775,0.5958902117470524
Maluku,-0.6355219989096045,0.5189583761062004,-0.4071830711330252,0.5734083734315484,-0.3010707160732184,-1.089574155095019
Maluku Utara,0.6199740600983599,-0.9100574421572486,-0.43296769040940547,2.4314153144817463,-0.3289170100223697,-0.7401220174981439
Papua Barat,1.210795734925637,-1.1958606058099384,-0.24766805357575758,2.9028581994045255,0.02463490142857866,-1.2027462412654357
Papua Barat Daya,0.7676794788051792,-2.0532700967680078,-0.49677369743231253,4.1200582038223486,-0.11171591721898969,0.0
Papua,-1.0047855456766528,-0.9100574421572486,0.5818100377220341,0.0,4.841275581005567,-1.2332808940651625
Papua Selatan,0.6938267694517695,-0.19554953302552408,-0.5990381196471087,0.7688711478636074,2.4885518074121027,-0.663543046984543
Papua Tengah,0.02915238527108254,-0.6242542785045587,0.17100423908139964,-0.1562452788517631,2.233902250332277,-1.0587971637810087
Papua Pegunungan,-2.260281604684617,-3.6251874968578015,-0.48715909363434023,0.0,0.36628012167368307,0.0
